epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2928.78,2.58182,11.8189,2.7022,0.0061,0.98515,0.31296,0.1496,2.90579,14.6868,2.99849,0.000545377,0.000545377,0.000545377
2,8543.81,2.71542,9.06272,2.70236,0.65406,0.54455,0.6167,0.37225,2.88022,10.6908,3.31004,0.00106438,0.00106438,0.00106438
3,11654.5,2.86784,7.18115,2.78088,0.65593,0.54739,0.5905,0.3402,2.75591,11.9732,3.04063,0.00154637,0.00154637,0.00154637
4,14597.9,2.78823,5.54699,2.77647,0.70913,0.60345,0.71583,0.41798,2.60728,6.57605,2.86192,0.00150047,0.00150047,0.00150047
5,17395.7,2.71706,4.51668,2.68423,0.69903,0.43069,0.50605,0.30992,2.56563,5.06909,2.61894,0.00144496,0.00144496,0.00144496
6,20133.7,2.66304,3.86378,2.63056,0.71326,0.70792,0.79841,0.4659,2.83969,3.70258,2.75553,0.00138944,0.00138944,0.00138944
7,22849.9,2.68394,3.54644,2.66446,0.72237,0.81147,0.82443,0.52004,2.4571,2.77602,2.46392,0.00133393,0.00133393,0.00133393
8,25571.1,2.57074,3.07484,2.58651,0.73401,0.69802,0.73301,0.45026,2.71839,2.85403,2.62984,0.00127842,0.00127842,0.00127842
9,28296.4,2.47151,2.72717,2.51547,0.8448,0.82673,0.89953,0.62869,2.24158,2.09044,2.32197,0.00122291,0.00122291,0.00122291
10,31018.9,2.46587,2.68045,2.52305,0.85665,0.80693,0.88399,0.60022,2.44869,2.09553,2.5077,0.0011674,0.0011674,0.0011674
11,33741.4,2.4035,2.52671,2.45858,0.91288,0.79208,0.91985,0.59696,2.51427,1.80161,2.45881,0.00111189,0.00111189,0.00111189
12,36458.7,2.46483,2.57485,2.50102,0.90494,0.75404,0.90348,0.64459,2.21628,1.82084,2.29325,0.00105638,0.00105638,0.00105638
13,39190.6,2.48371,2.42008,2.50557,0.86319,0.81209,0.89393,0.61462,2.40949,1.72119,2.44597,0.00100087,0.00100087,0.00100087
14,41931.6,2.31464,2.30307,2.4087,0.85899,0.80693,0.89828,0.62109,2.31117,1.68971,2.36172,0.000945356,0.000945356,0.000945356
15,44623.5,2.28595,2.12662,2.38845,0.92162,0.87314,0.94698,0.69969,2.07134,1.28086,2.21972,0.000889845,0.000889845,0.000889845
16,47362.6,2.29927,2.22749,2.41812,0.8928,0.86634,0.92458,0.67229,2.10161,1.53693,2.26152,0.000834333,0.000834333,0.000834333
17,50094.2,2.21268,2.00904,2.35255,0.9322,0.81683,0.95452,0.68734,2.17322,1.20365,2.24124,0.000778822,0.000778822,0.000778822
18,52819.8,2.26081,1.96004,2.35588,0.95217,0.89604,0.97608,0.68953,2.2022,1.15345,2.25994,0.000723311,0.000723311,0.000723311
19,55531.8,2.22449,2.04287,2.38433,0.92656,0.81193,0.92661,0.66426,2.1932,1.41506,2.31569,0.0006678,0.0006678,0.0006678
20,58279.2,2.16824,1.94716,2.34595,0.95571,0.90594,0.9725,0.71716,2.02101,1.12229,2.17241,0.000612289,0.000612289,0.000612289
21,61037.4,1.93406,1.61254,2.24011,0.94342,0.91584,0.9661,0.72772,1.91512,1.10059,2.1292,0.000556778,0.000556778,0.000556778
22,63782,1.83729,1.41578,2.17495,0.94348,0.90906,0.97415,0.74306,1.88635,1.03035,2.1111,0.000501267,0.000501267,0.000501267
23,66500.8,1.77352,1.3894,2.1322,0.96089,0.92574,0.97259,0.72876,1.97171,1.05458,2.15178,0.000445756,0.000445756,0.000445756
24,69241.1,1.79989,1.32853,2.16266,0.93387,0.90889,0.97243,0.71806,2.00754,1.06032,2.18924,0.000390245,0.000390245,0.000390245
25,71975.1,1.79978,1.30071,2.12956,0.88947,0.91631,0.96475,0.74256,1.88127,1.03078,2.12396,0.000334734,0.000334734,0.000334734
26,74714.3,1.73441,1.26985,2.10948,0.9572,0.90594,0.96211,0.73668,1.88925,1.01629,2.11776,0.000279222,0.000279222,0.000279222
27,77500.8,1.70416,1.22324,2.11682,0.95361,0.91591,0.97804,0.74128,1.87747,0.95865,2.13772,0.000223711,0.000223711,0.000223711
28,80257.4,1.72914,1.22581,2.09003,0.96385,0.92401,0.98179,0.75015,1.84749,0.89968,2.10477,0.0001682,0.0001682,0.0001682
29,82985.6,1.62761,1.12767,2.04198,0.98396,0.92079,0.98412,0.75804,1.85923,0.92572,2.09162,0.000112689,0.000112689,0.000112689
30,85744,1.6608,1.09296,2.03866,0.98951,0.93373,0.98567,0.75687,1.84866,0.87862,2.10928,5.71781e-05,5.71781e-05,5.71781e-05
